0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,0.02357371,0.0077097695,0.6840776,0.7362854,0.5587082,0.6104756,0.8624128,0.9364025,0.6455189,0.7318583,0.7574896,1.0,0.5998611,0.47754255
2.45153,0.04857616,0.021872094,0.75863296,0.49976224,0.26060614,0.3797298,0.6648358,1.0,0.697035,0.70636344,0.5634468,0.85403854,0.30558822,0.40143326
12.726713,0.061149538,0.033270538,1.0,0.7206429,0.54925764,0.56610173,0.7002292,0.77122194,0.71798635,0.9192326,0.81623656,0.75427556,0.45541897,0.589316
5.029385,0.013513962,0.007633809,1.0,0.51837564,0.21612325,0.3254224,0.5394841,0.49657592,0.5350941,0.9699537,0.6332855,0.48259515,0.31381258,0.48049766
0.48267552,0.0037083633,0.002474083,1.0,0.4450428,0.16181055,0.24650176,0.41703323,0.28345895,0.39513597,0.8302837,0.39772186,0.30586702,0.24449873,0.51040936
0.6629116,0.002866102,0.0019840437,1.0,0.48266357,0.16620722,0.2144373,0.43839425,0.37039408,0.43115026,0.8619293,0.39898744,0.31526375,0.19203655,0.41145816
0.51752687,0.0038353577,0.0025135735,0.97865987,0.4758672,0.17779809,0.22594365,0.47533143,0.34942982,0.43816447,1.0,0.462258,0.31278548,0.17947797,0.36811554
0.5398921,0.008864967,0.0053409464,1.0,0.44874853,0.12350649,0.17388193,0.3987216,0.27820694,0.3842935,0.9661181,0.4330387,0.19910756,0.11143346,0.32394528
0.37856627,0.031448238,0.02027114,0.9998543,0.4791446,0.12610488,0.19251491,0.4763517,0.24839851,0.3214162,1.0,0.47986826,0.23286805,0.14799142,0.33728892
16.200539,0.04140657,0.03512068,1.0,0.76110065,0.5002667,0.5635223,0.7357846,0.5748652,0.5151928,0.9741628,0.84537715,0.6161196,0.5073828,0.5266093
2.8760536,0.015128069,0.010507449,0.7578784,0.6024435,0.43669435,0.53507644,0.7042735,0.73011243,0.7087721,1.0,0.7176556,0.59741193,0.5140559,0.5220503
0.02935487,0.009001936,0.006590514,0.7381346,0.46438625,0.23417962,0.330009,0.72982115,0.80395436,0.7009893,1.0,0.5143253,0.39776027,0.27607337,0.36263445
1.8492937,0.014778305,0.011976886,0.6800581,0.5168023,0.35338783,0.3717093,0.5786928,0.62587136,0.5940102,1.0,0.53818595,0.35587215,0.27753916,0.37283176
7.1965723,0.023131002,0.023079114,0.5871734,0.605213,0.40860784,0.42465886,0.4338247,0.61362374,0.7141385,1.0,0.6179855,0.45025402,0.39079854,0.4506545
1.3633615,0.010828912,0.008167796,0.8677948,0.56396335,0.31445774,0.42634046,0.6352218,0.8332372,0.7485286,1.0,0.5411031,0.34618708,0.23733148,0.40459058
1.1849586,0.017356707,0.013518681,0.8449719,0.67731357,0.38334808,0.4003186,0.690897,0.7928443,0.67787033,1.0,0.68463194,0.5201666,0.3665688,0.4613758
12.87508,0.027814444,0.02482212,0.7957651,0.8762096,0.7493208,0.7194573,0.8376048,0.8708433,0.73566717,0.7525082,0.8802451,1.0,0.5968397,0.6294261
9.022875,0.007025554,0.0051185414,0.82796264,0.49518022,0.3093409,0.4372776,0.6503649,1.0,0.7105617,0.5744764,0.62346447,0.784126,0.3816804,0.5215886
0.62921345,0.0034820414,0.0025779842,0.8712797,0.4067451,0.18903765,0.2896683,0.4775272,1.0,0.58103806,0.2864519,0.29496464,0.55847365,0.19270207,0.3514849
1.0643736,0.003949372,0.0029081707,0.9973308,0.4586158,0.21247724,0.33679375,0.6000189,1.0,0.45054346,0.23579381,0.39485,0.7290323,0.22081535,0.39771938
0.20296015,0.007171721,0.004706046,0.9727707,0.40109324,0.17096154,0.27996758,0.55450344,1.0,0.48542443,0.22077824,0.47546673,0.8316436,0.19312271,0.43226478
0.15653259,0.02274861,0.012274589,0.9966842,0.4470682,0.12989686,0.2491616,0.5485536,1.0,0.5139961,0.19812302,0.37901086,0.8383112,0.22070329,0.40010023
14.403917,0.090453,0.052269004,0.89483887,0.53051823,0.57234305,0.81684965,0.855141,1.0,0.70071906,0.34661347,0.4464111,0.75390154,0.387378,0.5526784
21.46558,0.1050905,0.06701845,0.5660864,0.6666453,0.8098857,0.9642102,1.0,0.91428113,0.6282086,0.4906951,0.4941868,0.52467304,0.3194192,0.3620037
7.866297,0.04265514,0.020901082,0.26402888,0.27561793,0.32677346,0.7770719,1.0,0.55988884,0.59631807,0.60272694,0.47337538,0.3493243,0.28969866,0.31761828
4.827749,0.013539955,0.0061049126,0.5112154,0.31278446,0.3136857,0.40236026,0.8163634,1.0,0.6522149,0.91553855,0.5686027,0.5086451,0.2754757,0.31520715
3.6060624,0.009398097,0.0044171903,1.0,0.8913504,0.42625245,0.33016255,0.42071292,0.80633676,0.7073989,0.67164516,0.668757,0.6631726,0.66821355,0.6134097
2.0339727,0.0071727335,0.0034926697,0.99047065,0.7664761,0.51578814,0.6634596,0.80796576,1.0,0.816277,0.7808234,0.64135814,0.7660402,0.63431317,0.84489304
2.448379,0.007720107,0.0036658472,0.4712433,0.37991762,0.39575738,0.60032177,1.0,0.9779061,0.79941905,0.7342137,0.6013459,0.64895743,0.36315322,0.38813907
2.4220626,0.0099787135,0.004679116,0.5285449,0.3571671,0.34575173,0.44026783,0.6273363,1.0,0.66514623,0.7597861,0.7185322,0.9189216,0.68008846,0.50209343
1.9688604,0.016736856,0.008824233,0.8707727,0.775522,0.77134746,0.8337894,0.9045,0.9198534,0.7962235,0.83148855,0.8018605,0.743134,0.93494487,1.0
20.185009,0.015041908,0.008983846,0.5791873,0.8703086,0.933376,0.67107165,0.56442994,0.50259954,0.60376877,1.0,0.58616793,0.31140485,0.3207135,0.6370335
1.4942515,0.004848617,0.0025424287,0.5250327,0.73982173,0.98377377,0.58019894,0.35327297,0.35274458,0.50485265,1.0,0.45417616,0.22823517,0.26385653,0.52895427
2.088369,0.004886416,0.0027732959,0.6192975,1.0,0.9890365,0.6375211,0.32382983,0.27618536,0.41303545,0.6415634,0.5305369,0.33738884,0.3915221,0.6393065
0.8779775,0.0060393997,0.0036750548,0.509115,0.5913775,1.0,0.5657328,0.25928178,0.29092816,0.4497737,0.8971833,0.56122196,0.389196,0.39696085,0.71403193
0.52517873,0.011249908,0.0068879426,0.48619395,0.6494215,0.8849678,0.50216734,0.2824486,0.4077682,0.59575117,1.0,0.43080837,0.18278351,0.25252083,0.5560971
0.6187847,0.039163306,0.025124747,0.56658924,0.6452238,0.60372216,0.57349473,0.51047575,0.59220415,0.7416305,1.0,0.50856704,0.2917865,0.40595093,0.59200245
14.282757,0.10322698,0.07917377,0.6657611,0.7702048,0.7062852,0.8933137,1.0,0.77479786,0.4879488,0.7868644,0.8873712,0.74102974,0.82390547,0.72107446
19.253569,0.059254352,0.042822227,0.29103267,0.50208503,0.3583142,0.50885904,0.67641664,0.47335884,0.47599256,0.67230326,0.8034327,1.0,0.595997,0.28525642
2.1466303,0.01541052,0.008326499,0.16077305,0.3116467,0.20181382,0.27395085,0.378164,0.23931734,0.17157687,0.3733267,0.36706635,1.0,0.70742965,0.17748469
1.6118604,0.0122521985,0.006194476,0.29128972,0.3745955,0.22669627,0.34311888,0.5567028,0.280387,0.14610201,0.2898814,0.27753672,1.0,0.57384,0.4023241
2.4938912,0.014005031,0.0069807847,0.83663553,0.6179924,0.44804254,0.6524147,0.9176791,0.53107405,0.28388333,0.6040037,0.4380928,0.86343193,1.0,0.75248724
2.7889018,0.015103859,0.0068322383,0.4400355,0.5371461,0.36812517,0.50344634,0.58530504,0.28708035,0.212673,0.4070088,0.37783158,1.0,0.61104167,0.57609046
0.6338973,0.016743317,0.0071454206,0.22293876,0.37692788,0.27525035,0.29013002,0.34007016,0.15712897,0.16331884,0.23834904,0.38328174,1.0,0.5146463,0.40767285
1.7071835,0.028210852,0.012014843,0.36419767,0.37512168,0.2631877,0.22820954,0.31236362,0.26686862,0.16584761,0.31028202,0.21653947,0.88676983,1.0,0.554957
8.504575,0.031940915,0.010881467,0.37409067,0.31984153,0.35403013,0.26552168,0.26546022,0.39780256,0.28886166,0.33447996,0.2775291,0.61619365,1.0,0.39362654
2.739358,0.011993222,0.0033388352,0.45857102,0.30200234,0.44950545,0.31096426,0.2807417,0.5398914,0.33526567,0.33840558,0.32306638,0.6109656,1.0,0.42293054
1.304961,0.008797994,0.0020247917,0.31039235,0.30204943,0.37128723,0.24620156,0.29493937,0.43108422,0.27205825,0.25227034,0.24204223,0.75431746,1.0,0.3453292
1.1283071,0.009346185,0.0017974663,0.1835307,0.3020023,0.31917357,0.20848191,0.38537946,0.52307737,0.27185255,0.3336487,0.26462778,0.97657734,1.0,0.26157534
2.14784,0.011432964,0.0018884015,0.22906101,0.36330584,0.381657,0.21826665,0.67495763,0.81279457,0.341936,0.7049935,0.48444575,1.0,0.8973461,0.31863517
1.0932174,0.011231038,0.0016873847,0.24094908,0.23295715,0.39680204,0.1580799,0.3830222,1.0,0.3395949,0.6730112,0.68942463,0.54586625,0.94667876,0.27175027
1.5011401,0.014927185,0.0020023237,0.272638,0.20015194,0.31997135,0.2103208,0.40661278,1.0,0.3394462,0.3513498,0.49694613,0.58838785,0.89094687,0.3803264
3.139941,0.02093973,0.002687804,0.38480213,0.29802322,0.44533277,0.35882536,0.52868867,0.8745885,0.45375282,0.42393234,0.49339512,0.9454552,1.0,0.4763706
1.1781123,0.017831394,0.0023154225,0.36125162,0.29041025,0.36016366,0.30174714,0.43209678,0.8315695,0.40616658,0.42256477,0.4258066,0.74618477,1.0,0.4683817
0.642256,0.02439729,0.0031973831,0.36865595,0.27568364,0.49084488,0.20630187,0.34514868,0.99188906,0.39878973,0.33130774,0.41863203,0.59026694,1.0,0.5043903
0.79832894,0.048349548,0.0062957425,0.3964388,0.2870982,0.48293012,0.23994513,0.30818513,0.686294,0.323476,0.21304743,0.28897366,0.55014306,1.0,0.652771
6.9115224,0.0836496,0.012352131,0.45404115,0.37194818,0.4340122,0.34739375,0.42795122,0.6410739,0.487459,0.4861375,0.61100096,0.7786073,1.0,0.64890593
0.60738087,0.07876186,0.010683097,0.5339892,0.455404,0.56887853,0.46661133,0.54151815,1.0,0.6413761,0.49879226,0.60928625,0.6935234,0.624164,0.46664527
3.8269148,0.13748556,0.019312527,0.4838692,0.491268,0.69309425,0.5888204,0.64107513,1.0,0.73875666,0.90605164,0.94670045,0.8368195,0.7393904,0.45460975
19.652512,0.10327619,0.016202804,0.30668065,0.33988228,0.30429044,0.50657046,0.93771726,0.645248,0.4170059,0.46054333,0.65521824,1.0,0.64718807,0.2970032
4.3057656,0.029649008,0.004289557,0.2321361,0.2398338,0.18009481,0.30957225,1.0,0.75196123,0.20151718,0.18295574,0.24263698,0.57136536,0.32574326,0.1494939
